kind,collateral,debt,priceWad,spreadPpm,amountIn,out,newColl,newDebt,preAnchor,safeAfter
L,100000000000000000000,75000000000000000000,1000000000000000000,100,10000000000000000001,0,100000000000000000000,75000000000000000000,23563060869640368746,1
L,100000000000000000000,75000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,75000000000000000000,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,100,1,0,100000000000000000000,75000000000000000000,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,100,75000000000000001,84658297402161253,99915341702597838747,74924999999999999999,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,100,25000000000000000001,29095884993081823874,70904115006918176126,49999999999999999999,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,100,75000000000000000000,0,100000000000000000000,75000000000000000000,23563060869640368746,1
L,100000000000000000000,75000000000000000000,1000000000000000000,17500,100000000000000001,0,100000000000000000000,75000000000000000000,23563060869640368746,1
L,100000000000000000000,75000000000000000000,1000000000000000000,17500,10000000000000000001,0,100000000000000000000,75000000000000000000,23563060869640368746,1
L,100000000000000000000,75000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,75000000000000000000,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,75000000000000000000,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,17500,75000000000000001,83566096145547711,99916433903854452289,74924999999999999999,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,17500,25000000000000000001,28720510539225682732,71279489460774317268,49999999999999999999,23563060869640368746,1
D,100000000000000000000,75000000000000000000,1000000000000000000,17500,75000000000000000000,0,100000000000000000000,75000000000000000000,23563060869640368746,1
L,100000000000000000000,99000000000000000000,1000000000000000000,100,100000000000000001,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,99000000000000000000,1000000000000000000,100,10000000000000000001,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,99000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,99000000000000000000,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,100,1,0,100000000000000000000,99000000000000000000,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,100,99000000000000001,99004164062012977,99900995835937987023,98900999999999999999,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,100,33000000000000000001,33003654904195978746,66996345095804021254,65999999999999999999,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,100,99000000000000000000,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,99000000000000000000,1000000000000000000,17500,100000000000000001,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,99000000000000000000,1000000000000000000,17500,10000000000000000001,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,99000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,99000000000000000000,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,99000000000000000000,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,17500,99000000000000001,97726882617468555,99902273117382531445,98900999999999999999,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,17500,33000000000000000001,32577865176959126935,67422134823040873065,65999999999999999999,569459090239940601,1
D,100000000000000000000,99000000000000000000,1000000000000000000,17500,99000000000000000000,0,100000000000000000000,99000000000000000000,569459090239940601,1
L,100000000000000000000,105000000000000000000,1000000000000000000,100,100000000000000001,0,100000000000000000000,105000000000000000000,0,0
L,100000000000000000000,105000000000000000000,1000000000000000000,100,10000000000000000001,0,100000000000000000000,105000000000000000000,0,0
L,100000000000000000000,105000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,100,1,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,100,105000000000000001,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,100,35000000000000000001,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,100,105000000000000000000,0,100000000000000000000,105000000000000000000,0,0
L,100000000000000000000,105000000000000000000,1000000000000000000,17500,100000000000000001,0,100000000000000000000,105000000000000000000,0,0
L,100000000000000000000,105000000000000000000,1000000000000000000,17500,10000000000000000001,0,100000000000000000000,105000000000000000000,0,0
L,100000000000000000000,105000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,17500,105000000000000001,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,17500,35000000000000000001,0,100000000000000000000,105000000000000000000,0,0
D,100000000000000000000,105000000000000000000,1000000000000000000,17500,105000000000000000000,0,100000000000000000000,105000000000000000000,0,0
L,327000000000000000000,98100000000000000000,1000000000000000000,100,327000000000000001,379540298340813800,327327000000000000001,98479540298340813800,661246254037370904563,1
L,327000000000000000000,98100000000000000000,1000000000000000000,100,32700000000000000001,37059109740281174291,359700000000000000001,135159109740281174291,661246254037370904563,1
L,327000000000000000000,98100000000000000000,1000000000000000000,100,327000000000000000000,311800315097071915391,654000000000000000000,409900315097071915391,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,100,1,0,327000000000000000000,98100000000000000000,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,100,98100000000000001,84476403332054112,326915523596667945888,98001899999999999999,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,100,32700000000000000001,27554274705840173443,299445725294159826557,65399999999999999999,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,100,98100000000000000000,79024751470512312196,247975248529487687804,0,661246254037370904563,1
L,327000000000000000000,98100000000000000000,1000000000000000000,17500,327000000000000001,372935636683517911,327327000000000000001,98472935636683517911,661246254037370904563,1
L,327000000000000000000,98100000000000000000,1000000000000000000,17500,32700000000000000001,36414216741500403782,359700000000000000001,134514216741500403782,661246254037370904563,1
L,327000000000000000000,98100000000000000000,1000000000000000000,17500,327000000000000000000,306374447027575914463,654000000000000000000,404474447027575914463,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,17500,1,0,327000000000000000000,98100000000000000000,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,17500,98100000000000001,83006366910434208,326916993633089565792,98001899999999999999,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,17500,32700000000000000001,27074782376725642972,299925217623274357028,65399999999999999999,661246254037370904563,1
D,327000000000000000000,98100000000000000000,1000000000000000000,17500,98100000000000000000,77649583278106157349,249350416721893842651,0,661246254037370904563,1
L,327000000000000000000,165123595621306223658,1000000000000000000,100,327000000000000001,325250265230976142,327327000000000000001,165448845886537199800,485604661993294688976,1
L,327000000000000000000,165123595621306223658,1000000000000000000,100,32700000000000000001,31732588630985417771,359700000000000000001,196856184252291641429,485604661993294688976,1
L,327000000000000000000,165123595621306223658,1000000000000000000,100,327000000000000000000,0,327000000000000000000,165123595621306223658,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,100,1,0,327000000000000000000,165123595621306223658,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,100,165123595621306224,165916157973190520,326834083842026809480,164958472025684917434,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,100,55041198540435407887,52973131638237486724,274026868361762513276,110082397080870815771,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,100,165123595621306223658,144883761927339240184,182116238072660759816,0,485604661993294688976,1
L,327000000000000000000,165123595621306223658,1000000000000000000,17500,327000000000000001,319590344623896449,327327000000000000001,165443185965930120107,485604661993294688976,1
L,327000000000000000000,165123595621306223658,1000000000000000000,17500,32700000000000000001,31180386368580030963,359700000000000000001,196303981989886254621,485604661993294688976,1
L,327000000000000000000,165123595621306223658,1000000000000000000,17500,327000000000000000000,0,327000000000000000000,165123595621306223658,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,17500,1,0,327000000000000000000,165123595621306223658,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,17500,165123595621306224,163775625482087252,326836224374517912748,164958472025684917434,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,17500,55041198540435407887,52289709897930192416,274710290102069807584,110082397080870815771,485604661993294688976,1
D,327000000000000000000,165123595621306223658,1000000000000000000,17500,165123595621306223658,143014574479731803242,183985425520268196758,0,485604661993294688976,1
L,327000000000000000000,179850000000000000000,1000000000000000000,100,327000000000000001,308191667050858418,327327000000000000001,180158191667050858418,438445226379527292442,1
L,327000000000000000000,179850000000000000000,1000000000000000000,100,32700000000000000001,29987357102768748931,359700000000000000001,209837357102768748931,438445226379527292442,1
L,327000000000000000000,179850000000000000000,1000000000000000000,100,327000000000000000000,0,327000000000000000000,179850000000000000000,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,100,1,0,327000000000000000000,179850000000000000000,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,100,179850000000000001,190703923145515137,326809296076854484863,179670149999999999999,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,100,59950000000000000001,60356274728116547694,266643725271883452306,119899999999999999999,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,100,179850000000000000000,162566781803666497607,164433218196333502393,0,438445226379527292442,1
L,327000000000000000000,179850000000000000000,1000000000000000000,17500,327000000000000001,302828595737042100,327327000000000000001,180152828595737042100,438445226379527292442,1
L,327000000000000000000,179850000000000000000,1000000000000000000,17500,32700000000000000001,29465524905960891914,359700000000000000001,209315524905960891914,438445226379527292442,1
L,327000000000000000000,179850000000000000000,1000000000000000000,17500,327000000000000000000,0,327000000000000000000,179850000000000000000,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,17500,1,0,327000000000000000000,179850000000000000000,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,17500,179850000000000001,188243596504273867,326811756403495726133,179670149999999999999,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,17500,59950000000000000001,59577600916742706844,267422399083257293156,119899999999999999999,438445226379527292442,1
D,327000000000000000000,179850000000000000000,1000000000000000000,17500,179850000000000000000,160469460586277460884,166530539413722539116,0,438445226379527292442,1
L,327000000000000000000,202740000000000000000,1000000000000000000,100,327000000000000001,264428000750063416,327327000000000000001,203004428000750063416,343792531744557457791,1
L,327000000000000000000,202740000000000000000,1000000000000000000,100,32700000000000000001,25535405972116126582,359700000000000000001,228275405972116126582,343792531744557457791,1
L,327000000000000000000,202740000000000000000,1000000000000000000,100,327000000000000000000,0,327000000000000000000,202740000000000000000,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,100,1,0,327000000000000000000,202740000000000000000,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,100,202740000000000001,250507487712376120,326749492512287623880,202537259999999999999,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,100,67580000000000000001,76763456841870872257,250236543158129127743,135159999999999999999,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,100,202740000000000000000,198057992815731374232,128942007184268625768,0,343792531744557457791,1
L,327000000000000000000,202740000000000000000,1000000000000000000,17500,327000000000000001,259826493386275934,327327000000000000001,202999826493386275934,343792531744557457791,1
L,327000000000000000000,202740000000000000000,1000000000000000000,17500,32700000000000000001,25091045472151309498,359700000000000000001,227831045472151309498,343792531744557457791,1
L,327000000000000000000,202740000000000000000,1000000000000000000,17500,327000000000000000000,0,327000000000000000000,202740000000000000000,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,17500,1,0,327000000000000000000,202740000000000000000,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,17500,202740000000000001,247275617933908622,326752724382066091378,202537259999999999999,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,17500,67580000000000000001,75773109213847935711,251226890786152064289,135159999999999999999,343792531744557457791,1
D,327000000000000000000,202740000000000000000,1000000000000000000,17500,202740000000000000000,195502789188045670934,131497210811954329066,0,343792531744557457791,1
L,327000000000000000000,210967741935483870915,1000000000000000000,100,327000000000000001,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,210967741935483870915,1000000000000000000,100,32700000000000000001,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,210967741935483870915,1000000000000000000,100,327000000000000000000,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,100,1,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,100,210967741935483871,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,100,70322580645161290306,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,100,210967741935483870915,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,210967741935483870915,1000000000000000000,17500,327000000000000001,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,210967741935483870915,1000000000000000000,17500,32700000000000000001,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,210967741935483870915,1000000000000000000,17500,327000000000000000000,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,17500,1,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,17500,210967741935483871,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,17500,70322580645161290306,0,327000000000000000000,210967741935483870915,260564925716279628579,1
D,327000000000000000000,210967741935483870915,1000000000000000000,17500,210967741935483870915,0,327000000000000000000,210967741935483870915,260564925716279628579,1
L,327000000000000000000,215820000000000000000,1000000000000000000,100,327000000000000001,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,215820000000000000000,1000000000000000000,100,32700000000000000001,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,215820000000000000000,1000000000000000000,100,327000000000000000000,0,327000000000000000000,215820000000000000000,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,100,1,0,327000000000000000000,215820000000000000000,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,100,215820000000000001,295845461296782245,326704154538703217755,215604179999999999999,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,100,71940000000000000001,104006934508609553130,222993065491390446870,143879999999999999999,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,100,215820000000000000000,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,215820000000000000000,1000000000000000000,17500,327000000000000001,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,215820000000000000000,1000000000000000000,17500,32700000000000000001,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,215820000000000000000,1000000000000000000,17500,327000000000000000000,0,327000000000000000000,215820000000000000000,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,17500,1,0,327000000000000000000,215820000000000000000,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,17500,215820000000000001,292028673167240800,326707971326832759200,215604179999999999999,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,17500,71940000000000000001,102665110871084737413,224334889128915262587,143879999999999999999,172089320485298282594,1
D,327000000000000000000,215820000000000000000,1000000000000000000,17500,215820000000000000000,0,327000000000000000000,215820000000000000000,172089320485298282594,1
L,327000000000000000000,245250000000000000000,1000000000000000000,100,327000000000000001,0,327000000000000000000,245250000000000000000,77051209043724005798,1
L,327000000000000000000,245250000000000000000,1000000000000000000,100,32700000000000000001,0,327000000000000000000,245250000000000000000,77051209043724005798,1
L,327000000000000000000,245250000000000000000,1000000000000000000,100,327000000000000000000,0,327000000000000000000,245250000000000000000,77051209043724005798,1
