kind,aWad,xLo,xHi,yHi,anchor,kappa,x,stableIn,amountIn,gross,xAfter,unspent
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,1,5160627105825846716411463784251,5023126230272469,341154801378035639,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,1,30963762634955080298468782705477,13029675712344239,87965475756152959,15481881317477540149234391352744
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,0,1,0,500000000000000000,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,0,15833164002136,15831951010819754096026774063,500500688608069822,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,0,5277721334044543,5133392942943863862156645017879,666896202711022576,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,0,31666328004267229,13192066423683047511993369967248,1000688608137292792,15833164002133620
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,1,1,0,899274926761610589,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,1,26834950100881678880718495158,38783194287651,898048494472752474,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,1,8944983366960559626906165051830,10189118903494783,577066695908401723,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,1,53669900201763357761436990310953,25655857523980309,87965475756152959,26834950100881678880718495155482
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,0,1,0,899274926761610589,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,0,3206982190500,2214631711995840931852446602,899376340436962210,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,0,1068994063499186,699382845676209654415214939140,933079487204385879,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,899274926761610589,0,6413964380995089,1838997640278908780509266164510,1000688608137292792,3206982190497550
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,1,1,0,1000688608137292792,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,1,28673947741160587661227761322,63588900024802,998677750557461659,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,1,9557982580386862553742587106667,12130855063178859,617077288486982982,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,1,57347895482321175322455522639973,28862839714477848,87965475756152959,28673947741160587661227761319991
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,0,1,0,1000688608137292792,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,0,3,0,1000688608137292792,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,0,7,0,1000688608137292792,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,1000688608137292792,0,11,0,1000688608137292792,11
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,1,1,0,87965475756152958,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,1,3,0,87965475756152958,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,1,7,0,87965475756152958,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,1,11,0,87965475756152958,11
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,0,1,0,87965475756152958,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,0,288628397144778483,60308207203,88878198888534097,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,0,96209465714926160042,12013547139368,392206519883199568,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,87965475756152958,0,577256794289556960225,28673947741160,1000688608137292792,288628397144778476955
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,1,1,8446443,218354494667717651,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,1,6009583491,50757416339346210,218193985623966574,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,1,2003194496042,16116813384389456721,167388655749186850,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,1,12019166976225,41232628163539781517,87965475756152959,6009583488117
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,0,1,0,218354494667744362,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,0,247395768981238701,29270148091,219136828781213910,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,0,82465256327079566203,8810293508947,479132532490927172,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,218354494667744362,0,494791537962477397191,22664364253053,1000688608137292792,247395768981238698600
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,1,1,9999121,499999999999968378,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,1,15481881320,154807215558058764,499510456600607872,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,1,5160627105832,50231262302782689110,341154801377852233,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,1,30963762634965,130296757123442398500,87965475756152959,15481881317487
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,0,1,0,500000000000000000,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,0,158331640021336084,15831951012,500500688608137292,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,0,52777213340445360542,5133392942985,666896202712430930,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,500000000000000000,0,316663280042672163225,13192066423683,1000688608137292792,158331640021336078455
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,1,1,14476907,899274926761564805,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,1,26834950103,387831942907077652,898048494472655836,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,1,8944983366967,101891189035013829131,577066695908193029,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,1,53669900201775,256558575239803094483,87965475756152959,26834950100893
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,0,1,0,899274926761610589,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,0,32069821904975388,2214631843,899376340442986271,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,0,10689940634991795215,699382845983,933079487220171322,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,899274926761610589,0,64139643809950771259,1838997640278,1000688608137292792,32069821904975382472
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,1,1,22297219,1000688608137222275,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,1,28673947744,635889000310643004,998677750557263633,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,1,9557982580393,121308550631852405800,617077288486781185,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,1,57347895482331,288628397144778480107,87965475756152959,28673947741170
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,0,1,0,1000688608137292792,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,0,3,0,1000688608137292792,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,0,7,0,1000688608137292792,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,25054144837504793118641380,100000000000000000,1000688608137292792,0,11,0,1000688608137292792,11
Y,22000000000000000000,,,,,,1000000000000000,,,2921260957922959963,,
Y,22000000000000000000,,,,,,250750000000000000,,,756476461456494275,,
Y,22000000000000000000,,,,,,500500000000000000,,,499500021738205183,,
Y,22000000000000000000,,,,,,750250000000000000,,,256543048375408263,,
Y,22000000000000000000,,,,,,1000000000000000000,,,64865953778401921,,
Y,22000000000000000000,,,,,,1249750000000000000,,,15772316716861521,,
Y,22000000000000000000,,,,,,1499500000000000000,,,7157631069531916,,
Y,22000000000000000000,,,,,,1749250000000000000,,,4184879794095757,,
Y,22000000000000000000,,,,,,1999000000000000000,,,2774354068063300,,
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,1,1,0,38829232852740899,1
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,1,3,0,38829232852740899,3
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,1,7,0,38829232852740899,7
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,1,11,0,38829232852740899,11
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,0,1,4,38829232852740900,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,0,1061273569772329,4167908476959835,39890506422513228,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,0,353757856590775363,466140958044018859,392587089443516262,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,38829232852740899,0,2122547139544652149,1041493420616260368,1100102802625066968,1061273569772326080
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,1,1,1,190439742820216050,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,1,251530811298729,220583178644716,190219159641571335,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,1,83843603766242127,68650940065077980,121788802755138071,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,1,503061622597452735,151610509967475151,38829232852740900,251530811298726373
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,0,1,2,190439742820216052,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,0,909663059804853,1036497641525313,191349405880020904,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,0,303221019934950312,316738500429449897,493660762755166363,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,190439742820216051,0,1819326119609701845,789962609317534006,1100102802625066968,909663059804850928
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,1,1,1,499999999999999999,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,1,574612045843780,574583336025941,499425416663974059,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,1,191537348614592642,187936005466218780,312063994533781220,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,1,1149224091687555823,461170767147259100,38829232852740900,574612045843777917
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,0,1,1,500000000000000001,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,0,600102802625069,600071489141853,500600102802625069,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,0,200034267541688996,196057521092058760,700034267541688996,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,500000000000000000,0,1200205605250133947,466881374772482462,1100102802625066968,600102802625066979
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,1,1,3,982183517094808513,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,1,1000969389259502,1903852485175353,980279664609633163,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,1,333656463086499998,388704465092983266,593479052001825250,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,1,2001938778518999959,943354284242067616,38829232852740900,1000969389259499985
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,0,1,1,982183517094808517,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,0,117919285530261,61597242096129,982301436380338777,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,0,39306428510086157,17962606040771874,1021489945604894673,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,982183517094808516,0,235838571060516915,40524031356760394,1100102802625066968,117919285530258463
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,1,1,9,1100102802625066959,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,1,1041493420616263,5092937498133278,1095009865126933690,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,1,347164473538753463,479055393849390406,621047408775676562,0
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,1,2082986841232520747,1061273569772326068,38829232852740900,1041493420616260379
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,0,1,0,1100102802625066968,1
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,0,3,0,1100102802625066968,3
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,0,7,0,1100102802625066968,7
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,79228162514264337593543950336,1000000000000000000,1100102802625066968,0,11,0,1100102802625066968,11
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,2505414483750479311864138015696063230,1000000000000000000000000,38829232852740899,1,1,0,38829232852740899,1
S,22000000000000000000,38829232852740899,1100102802625066968,33118625227517538,2505414483750479311864138015696063230,1000000000000000000000000,38829232852740899,1,3,0,38829232852740899,3
